"Date","Content"
"2022-12-01T08:00:00.000Z","<a href=""https://media.giphy.com/media/XiSle0Z70vxYnH0mFJ/giphy.gif"" target=""_blank"">ADVERTISING</a>:<br/>Making a big, weird film for <a href=""https://cash.app"" target=""_blank"">CASH APP</a>. Going to blow stuff up."
"2022-12-01T08:00:00.000Z","MUSIC:<br/>Two concerts defined us this autumn/fall. First was <a href=""https://media.giphy.com/media/7Ip0mbwF06UmjVacUU/giphy-downsized-large.gif"" target=""_blank"">AUTECHRE</a> at The Barbican, those who went are still in recovery, whispering quietly to each other about how it?s OK now, it?s over, it?s really over. Second was <a href=""https://media.giphy.com/media/AfKf7UGGbFhRt1nbi5/giphy.gif"" target=""_blank"">PIXIES</a> at Terminal 5. Black Francis not speaking once during the whole show. Barely looking at the crowd. All he came to do was scream at us. Heart emoji."
"2022-12-01T08:00:00.000Z","<a href=""https://media.giphy.com/media/iGYcRLkE7hVEamAezQ/giphy.gif"" target=""_blank"">ART</a>:<br/><a href=""https://media.giphy.com/media/28NPmwbdM2YUrT9WJc/giphy.gif"" target=""_blank"">Massaged</a> a publication for <a href=""https://gagosian.com/artists/roe-ethridge/"" target=""_blank"">ROE ETHRIDGE</a> into <a href=""https://media.giphy.com/media/3otPopxmGPEkjpF4t2/giphy.gif"" target=""_blank"">life</a>. LINDSAY LOHAN in Miami. What a lovely guy he is. You should meet him, he?s REALLY NICE. The Miami thing is good too. <a href=""https://media.giphy.com/media/3otPoUFmJuU3S8Cs12/giphy.gif"" target=""_blank"">Lots of collages</a>. <a href=""https://drive.google.com/file/d/1EQJqAGux2uqJoYJqjwSjMbEjATCUdLdx/view?usp=share_link"" target=""_blank"">[CLICK HERE]</a>"
"2022-12-01T08:00:00.000Z","PRESS &amp;amp; PR:<br/>ECHO?s new issue of 1814 magazine was featured on <a href=""https://www.itsnicethat.com/articles/1413-magazine-project-publication-091122"" target=""_blank"">It?s nice that</a>. Talking about bubble tea, angels and devils."
"2022-12-01T08:00:00.000Z","ONANISM:<br/>First FOOD Summit/off site/clusterfuck. The snooker was on that week too, but the place we stayed in had decided that TVs were a distraction ? you know, that sort of place? I get it, but come on, the snooker. We did invent ?Cheese Water? though. <a href=""https://media.giphy.com/media/WYPL46AyMaWWUMtYPx/giphy.gif"" target=""_blank"">More to follow</a>."
"2022-11-01T07:00:00.000Z","<a href=""https://media.giphy.com/media/Yj6jAvlW84XOuhjemy/giphy.gif"" target=""_blank"">UGH</a>:<br/>UGHHHHHHHH"
"2022-09-01T07:00:00.000Z","FASHION:<br/>Finishing up new Mulberry campaign shot by Tom Johnson, filmed by Sam Johnson and styled by Harry Lambert, with Food creative direction. Launching world-wide on October 3. <a href=""https://media.giphy.com/media/106HyGOCssudZS/giphy.gif"" target=""_blank"">HAY. MAN.</a>"
"2022-09-01T07:00:00.000Z","<a href=""https://media.giphy.com/media/12d26S5UN4lY4w/giphy-downsized-large.gif"" target=""_blank"">PRESS &amp;amp; PR</a>:<br/>Richard was profiled by Asher Penn in issue 13 of <a href=""https://www.instagram.com/sexmag/"" target=""_blank"">Sex magazine</a>. <a href=""https://sexmag.bigcartel.com"" target=""_blank"">Print only</a> so unless you pony up $15, you?ll just have to imagine how deep and insightful his comments are ? on subjects as varied as yogurt pots, grooming cults and Nike mood board trash."
"2022-09-01T07:00:00.000Z","<a href=""https://media.giphy.com/media/3pZipqyo1sqHDfJGtz/giphy.gif"" target=""_blank"">OPEN STUDIO</a>:<br/>Big September highlight for the NY office has been the beginning of our desk crits. So far we?ve had a bunch of designers (and a strategist) through. Open to anyone, of any creative persuasion. Mail Richard to book in or to find out more. <a href=""/cdn-cgi/l/email-protection"" target=""_blank"">[email?protected]</a>"
"2022-09-01T07:00:00.000Z","PRAY FOR US:<br/><a href=""https://www.instagram.com/p/CiP9czigmSq/?hl=en"" target=""_blank"">KIM KARDASHIAN?S ASS</a> (AGAIN) on Interview Magazine?s September issue."
